id,datetime,home_name,away_name,home_predG,away_predG,home_G,away_G,home_xG,away_xG,home_adjG,away_adjG,home_errG,away_errG,home_errxG,away_errxG,home_erradjG,away_erradjG,p_win,p_draw,p_loss,home_predCS,away_predCS,home_CS,away_CS,predResult,actResult,oddsResult,odds_win,odds_draw,odds_loss
26602,2024-08-16 19:00:00,MUN,FLH,1.8981000000000001,1.5545454545454542,1.0,0.0,2.04268,0.418711,1.52134,0.2093555,0.8981000000000001,1.5545454545454542,-0.1445799999999997,-0.4881345454545456,0.3767600000000002,0.033205454545454316,0.45330062738932736,0.23120898177425406,0.3154903908364185,0.20747140571128514,0.14775066283528568,1,0,w,w,w,0.8069,0.1489,0.0442
26603,2024-08-17 11:30:00,IPS,LIV,1.0323000000000002,2.4,0.0,2.0,0.342601,3.92906,0.1713005,2.96453,1.0323000000000002,0.3999999999999999,0.6896990000000003,2.0573989999999998,0.8609995000000003,2.2286995,0.14648944065951303,0.1876822608785261,0.665828298461961,0.09091001893568404,0.3501223752834559,0,1,l,l,l,0.0026,0.018,0.9794
26604,2024-08-17 14:00:00,ARS,WOL,2.8527000000000005,0.7463636363636363,2.0,0.0,1.6283,0.575835,1.77665,0.2879175,0.8527000000000005,0.7463636363636363,1.2244000000000004,-0.8819363636363637,1.0760500000000004,-1.0302863636363637,0.7943786292264408,0.13421362392370706,0.07140774684985224,0.4675164515812902,0.05915565398205256,1,0,w,w,w,0.6528,0.231,0.1162
26605,2024-08-17 14:00:00,EVE,BRI,1.3320000000000003,1.0454545454545454,0.0,3.0,0.405325,1.79083,0.2026625,2.190415,1.3320000000000003,-1.9545454545454546,0.9266750000000004,0.6401295454545455,1.1293375000000003,0.8427920454545454,0.42629987115878787,0.28425622093924063,0.28944390790197155,0.3468264335301439,0.26117371797544436,0,1,w,l,l,0.0481,0.1635,0.7884
26606,2024-08-17 14:00:00,NEW,SOU,3.3411,1.0454545454545454,1.0,0.0,0.433489,1.95483,0.7167445,0.977415,2.3411,1.0454545454545454,2.907611,0.6119655454545454,2.6243555,0.3287100454545454,0.7921508638173933,0.12430430833893143,0.08354482784367523,0.34564814211634354,0.037117259652358625,1,0,w,w,l,0.0378,0.164,0.7982
26607,2024-08-17 14:00:00,NOT,BOU,1.7094000000000003,1.3727272727272728,1.0,1.0,1.24405,1.90915,1.122025,1.454575,0.7094000000000003,0.3727272727272728,0.46535000000000015,0.1286772727272727,0.5873750000000002,0.25070227272727275,0.44865209543687024,0.24546357040039882,0.3058843341627311,0.24910829663622316,0.17852094235825117,0,0,w,d,l,0.1994,0.2537,0.5469
26608,2024-08-17 16:30:00,WHU,AVL,1.8537000000000003,1.9272727272727272,1.0,2.0,2.8047,2.6703,1.90235,2.33515,0.8537000000000003,-0.07272727272727275,-0.9509999999999996,-0.8774272727272727,-0.04864999999999964,0.024922727272727263,0.3741020549692454,0.2235355619772229,0.40236238305353167,0.1432041212619835,0.15397853370959352,0,0,l,l,w,0.4123,0.2321,0.3556
26609,2024-08-18 13:00:00,BRE,CRY,1.4429999999999998,1.590909090909091,2.0,1.0,1.38064,1.14757,1.62782,0.573785,-0.5570000000000002,0.590909090909091,0.06235999999999975,0.21026909090909096,-0.1848200000000002,-0.036910909090908994,0.3430534663899808,0.2504892085421796,0.40645732506783966,0.20072200307639076,0.23236994714381246,0,0,l,w,w,0.4248,0.3141,0.2611
26610,2024-08-18 15:30:00,CHE,MCI,1.6983000000000001,2.2818181818181813,0.0,2.0,1.06123,1.18038,0.530615,1.42769,1.6983000000000001,0.2818181818181813,0.6370700000000002,1.2205881818181814,1.167685,1.7512031818181812,0.28677088295848724,0.21059361311818986,0.5026355039233229,0.10109796996098581,0.17948456153244846,0,1,l,l,l,0.3036,0.3245,0.3719
26611,2024-08-19 19:00:00,LEI,TOT,1.6206,2.3272727272727267,1.0,1.0,1.02614,1.40775,1.01307,1.203875,0.6206,1.3272727272727267,0.59446,1.3011327272727267,0.6075300000000001,1.3142027272727268,0.2653494971406634,0.20794722853231312,0.5267032743270236,0.09677109184824968,0.1939415471767702,0,0,l,d,l,0.2541,0.2951,0.4508
26612,2024-08-24 11:30:00,BRI,MUN,1.6982617882500002,1.27644125,2.0,1.0,2.14153,1.28556,2.070765,1.14278,-0.3017382117499998,0.27644124999999997,-0.44326821174999975,-0.86508875,-0.37250321175,-0.7943237500000002,0.46672072730480685,0.24801960277833288,0.28525966991686025,0.2743653488711393,0.1807187740949756,0,0,w,w,w,0.601,0.2392,0.1598
26613,2024-08-24 14:00:00,CRY,WHU,2.2517604047727278,1.1318368181818181,0.0,2.0,1.3761,1.53421,0.68805,1.7546050000000002,2.2517604047727278,-0.8681631818181819,0.8756604047727277,-0.24426318181818196,1.5637104047727277,0.4437868181818181,0.6166085721914815,0.20362440003487878,0.1797670277736398,0.3167431138065968,0.1048736570977663,0,1,w,l,l,0.3315,0.2678,0.4007
26614,2024-08-24 14:00:00,FLH,LEI,2.019880150977273,1.1475968181818177,2.0,1.0,1.96218,0.857005,1.98109,0.9285025,0.019880150977273026,0.1475968181818177,0.05770015097727299,-0.8145831818181823,0.03879015097727301,-0.8334931818181823,0.5670085800139325,0.22282193144570847,0.21016948854035905,0.31189150515081787,0.1316766942888805,0,0,w,w,w,0.6596,0.215,0.1254
