Player ID,Name,Last Name,Cost Today,Form,Position,Team,Selection %,Goals,Assists,Clean Sheets,GW Points,Total Points,Points/Game,Total Bonus Points,Total BPS,Goals Conceded,Minutes,YC,RC,Saves,Penalties Saved,Penalties Missed,Chance Of Playing Next,Total Cost Change,Cost Change GW,Total Transfers Out,Transfers Out GW,Total Transfers in,Transfers in GW,Influence,Creativity,Threat,ICT Index,Last GW,GW38,GW39,GW40,GW41,GW42,GW43,Difficulty Score,Cost Today,Total Cost Change,Cost Change GW,Position,Team,Index,xGi,xGc
25,Takehiro,Tomiyasu,£4.50,3.8,DEF,Arsenal,0.3,1,1,6,6,61,2.9,3,219,9,1050,0,1,0,0,0,100,£0.00,£0.00,97145,247,93124,2333,203.2,123.7,106,42.9,37,EVE (H),,,,,,2,45,0,0,2,3,1.9,0.16,1.16
26,Leandro,Trossard,£6.50,7.2,MID,Arsenal,2.5,12,2,12,11,136,4.1,11,389,9,1556,2,0,0,0,0,100,-£0.50,£0.00,845554,1127,539537,26518,562.4,369.3,730,166.2,37,EVE (H),,,,,,2,65,-5,0,3,3,3.6,0.64,0.75
29,Benjamin,White,£6.10,7.8,DEF,Arsenal,22.5,4,5,18,6,180,5,14,764,25,2919,8,0,0,0,0,100,£0.60,£0.00,1819792,5238,3157031,33077,756,561.7,230,154.8,37,EVE (H),,,,,,2,61,6,0,2,3,3.9,0.15,0.75
30,Granit,Xhaka,£6.00,0,MID,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,£0.00,£0.00,1238,1,0,0,0,0,0,0,37,EVE (H),,,,,,2,60,0,0,3,3,0,0,0
31,Oleksandr,Zinchenko,£5.00,0.2,DEF,Arsenal,5.2,1,2,9,0,103,4,16,460,15,1686,2,0,0,0,0,100,£0.00,£0.00,1893465,5635,1678668,731,390,459.1,133,98.3,37,EVE (H),,,,,,2,50,0,0,2,3,0.1,0.17,0.66
113,David,Raya,£5.20,5.6,GK,Arsenal,10.6,0,0,16,5,133,4.3,6,559,23,2790,2,0,45,1,0,100,£0.20,£0.00,1176314,3726,1718459,27901,402.6,0,0,40.1,37,EVE (H),,,,,,2,52,2,0,1,3,2.8,0,0.71
540,Declan,Rice,£5.50,6.8,MID,Arsenal,5.9,7,9,17,3,164,4.4,17,734,27,3135,4,0,0,0,0,100,£0.00,£0.00,972726,3536,893059,8795,948.4,715.5,425,209.2,37,EVE (H),,,,,,2,55,0,0,3,3,3.4,0.23,0.76
578,Reiss,Nelson,£4.80,0,MID,Arsenal,0,0,0,1,0,16,1.1,0,58,1,256,1,0,0,0,0,100,-£0.20,£0.00,8527,12,6967,7,42.8,87.7,39,16.9,37,EVE (H),,,,,,2,48,-2,0,3,3,0,0.21,0.77
585,Jurriën,J.Timber,£4.60,0,DEF,Arsenal,0.4,0,0,0,0,0,0,0,3,0,49,1,0,0,0,0,100,-£0.40,£0.00,481940,77,14121,152,3.6,2.4,0,0.6,37,EVE (H),,,,,,2,46,-4,0,2,3,0,0.02,0.51
646,Karl,Hein,£4.00,0,GK,Arsenal,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,£0.00,£0.00,5431,21,5750,21,0,0,0,0,37,EVE (H),,,,,,2,40,0,0,1,3,0,0,0
735,Charles,Sagoe,£4.50,0,MID,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,£0.00,£0.00,592,0,641,0,0,0,0,0,37,EVE (H),,,,,,2,45,0,0,3,3,0,0,0
736,Reuell,Walters,£4.00,0,DEF,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,£0.00,£0.00,3789,35,4865,42,0,0,0,0,37,EVE (H),,,,,,2,40,0,0,2,3,0,0,0
737,Bradley,Ibrahim,£4.50,0,MID,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,£0.00,£0.00,536,0,549,0,0,0,0,0,37,EVE (H),,,,,,2,45,0,0,3,3,0,0,0
764,Myles,Lewis-Skelly,£4.50,0,MID,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,£0.00,£0.00,363,6,488,12,0,0,0,0,37,EVE (H),,,,,,2,45,0,0,3,3,0,0,0
772,Ethan,Nwaneri,£4.50,0,MID,Arsenal,0,0,0,0,0,1,1,0,3,0,13,0,0,0,0,0,,£0.00,£0.00,227,2,285,8,2,12.3,4,1.8,37,EVE (H),,,,,,2,45,0,0,3,3,0,0.35,0.9
815,Mauro,Bandeira,£4.50,0,MID,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,£0.00,£0.00,127,5,175,6,0,0,0,0,37,EVE (H),,,,,,2,45,0,0,3,3,0,0,0
817,James,Sweet,£4.00,0,DEF,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,£0.00,£0.00,391,23,558,29,0,0,0,0,37,EVE (H),,,,,,2,40,0,0,2,3,0,0,0
32,Alexandre,Alex Moreno,£4.90,0.2,DEF,Aston Villa,1.2,2,0,3,0,49,2.3,5,211,20,1024,2,0,0,0,0,75,-£0.10,£0.00,519121,3496,623019,50,217.8,156.9,152,52.7,37,CRY (A),,,,,,2,49,-1,0,2,7,0.1,0.19,1.63
34,Leon,Bailey,£5.40,4.5,MID,Aston Villa,3.1,10,11,5,2,148,4.2,11,482,32,2063,5,0,0,0,0,100,-£0.10,£0.00,984486,5362,1203775,3886,663.2,707.1,623,199.1,37,CRY (A),,,,,,2,54,-1,0,3,7,2.25,0.58,1.58
35,Emiliano,Buendia,£5.70,0,MID,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-£0.30,£0.00,17488,6,1166,28,0,0,0,0,37,CRY (A),,,,,,2,57,-3,0,3,7,0,0,0
36,Matty,Cash,£4.50,1.5,DEF,Aston Villa,10.3,2,2,3,0,64,2.2,4,337,36,2138,8,0,0,0,0,75,£0.00,£0.00,3907048,8565,4085587,1046,465.2,231.8,378,107.1,37,CRY (A),,,,,,2,45,0,0,2,7,0.75,0.29,1.55
37,Calum,Chambers,£3.80,1.2,DEF,Aston Villa,2.1,0,1,0,4,6,1.5,0,27,2,82,1,0,0,0,0,,-£0.20,£0.00,199052,2524,277710,5142,36,10.8,0,4.7,37,CRY (A),,,,,,2,38,-2,0,2,7,0.6,0,3
38,Philippe,Coutinho,£5.80,0,MID,Aston Villa,0.2,0,0,0,0,2,1,0,7,1,24,0,0,0,0,0,0,-£0.20,£0.00,48139,13,4781,0,4,2.8,12,1.8,37,CRY (A),,,,,,2,58,-2,0,3,7,0,0.64,2.55
39,Keinan,Davis,£4.90,0,FWD,Aston Villa,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-£0.10,£0.00,23552,7,4950,0,0,0,0,0,37,CRY (A),,,,,,2,49,-1,0,4,7,0,0,0
40,Leander,Dendoncker,£4.90,0,MID,Aston Villa,0,1,1,0,0,20,2.5,3,64,3,118,0,0,0,0,0,0,-£0.10,£0.00,5566,2,3934,0,59.2,3.9,37,10,37,CRY (A),,,,,,2,49,-1,0,3,7,0,0.57,1.21
41,Diego Carlos,Diego Carlos,£4.40,1.2,DEF,Aston Villa,0.5,0,0,6,1,55,2.1,1,323,31,1719,4,0,0,0,0,100,-£0.10,£0.00,126055,312,115820,415,351,59.5,96,50.8,37,CRY (A),,,,,,2,44,-1,0,2,7,0.6,0.12,1.61
